month,total_employment_k,mom_change_k,mom_pct,yoy_pct,captured_at
2026-03-01,135320,186,0.14,0.37,2026-04-27T23:12:08Z
2026-02-01,135134,-129,-0.10,0.28,2026-04-27T23:12:08Z
2026-01-01,135263,180,0.13,0.41,2026-04-27T23:12:08Z
2025-12-01,135083,-7,-0.01,0.22,2026-04-27T23:12:08Z
2025-11-01,135090,72,0.05,0.38,2026-04-27T23:12:08Z
2025-10-01,135018,13,0.01,0.42,2026-04-27T23:12:08Z
2025-09-01,135005,68,0.05,0.40,2026-04-27T23:12:08Z
2025-08-01,134937,-20,-0.01,0.46,2026-04-27T23:12:08Z
2025-07-01,134957,65,0.05,0.45,2026-04-27T23:12:08Z
2025-06-01,134892,-45,-0.03,0.40,2026-04-27T23:12:08Z
2025-05-01,134937,20,0.01,0.49,2026-04-27T23:12:08Z
2025-04-01,134917,99,0.07,0.51,2026-04-27T23:12:08Z
2025-03-01,134818,67,0.05,0.48,2026-04-27T23:12:08Z
2025-02-01,134751,40,0.03,0.54,2026-04-27T23:12:08Z
2025-01-01,134711,-76,-0.06,0.61,2026-04-27T23:12:08Z
2024-12-01,134787,212,0.16,0.76,2026-04-27T23:12:08Z
2024-11-01,134575,116,0.09,0.68,2026-04-27T23:12:08Z
2024-10-01,134459,-4,-0.00,0.66,2026-04-27T23:12:08Z
2024-09-01,134463,142,0.11,0.74,2026-04-27T23:12:08Z
2024-08-01,134321,-27,-0.02,0.73,2026-04-27T23:12:08Z
2024-07-01,134348,-8,-0.01,0.86,2026-04-27T23:12:08Z
2024-06-01,134356,78,0.06,0.95,2026-04-27T23:12:08Z
2024-05-01,134278,45,0.03,1.01,2026-04-27T23:12:08Z
2024-04-01,134233,63,0.05,1.13,2026-04-27T23:12:08Z
2024-03-01,134170,143,0.11,1.22,2026-04-27T23:12:08Z
2024-02-01,134027,135,0.10,1.13,2026-04-27T23:12:08Z
2024-01-01,133892,126,0.09,1.21,2026-04-27T23:12:08Z
2023-12-01,133766,99,0.07,1.36,2026-04-27T23:12:08Z
2023-11-01,133667,84,0.06,1.37,2026-04-27T23:12:08Z
2023-10-01,133583,114,0.09,1.47,2026-04-27T23:12:08Z
2023-09-01,133469,115,0.09,1.66,2026-04-27T23:12:08Z
2023-08-01,133354,148,0.11,1.75,2026-04-27T23:12:08Z
2023-07-01,133206,118,0.09,1.87,2026-04-27T23:12:08Z
2023-06-01,133088,155,0.12,2.21,2026-04-27T23:12:08Z
2023-05-01,132933,200,0.15,2.41,2026-04-27T23:12:08Z
2023-04-01,132733,179,0.14,2.45,2026-04-27T23:12:08Z
