date,trade_balance_usd_bn,exports_usd_bn,imports_usd_bn,balance_change,captured_at
2026-02-01,-57.3,0.0,0.0,,2026-04-27T23:06:36Z
2026-01-01,-54.7,0.0,0.0,+2.7,2026-04-27T23:06:36Z
2025-12-01,-72.9,0.0,0.0,-18.2,2026-04-27T23:06:36Z
2025-11-01,-56.0,0.0,0.0,+16.9,2026-04-27T23:06:36Z
2025-10-01,-31.1,3.4,4.1,+24.9,2026-04-27T23:06:36Z
2025-09-01,-49.2,0.0,0.0,-18.1,2026-04-27T23:06:36Z
2025-08-01,-56.0,0.0,0.0,-6.8,2026-04-27T23:06:36Z
2025-07-01,-74.2,3.4,4.1,-18.2,2026-04-27T23:06:36Z
2025-06-01,-57.6,0.0,0.0,+16.6,2026-04-27T23:06:36Z
2025-05-01,-70.6,0.0,0.0,-12.9,2026-04-27T23:06:36Z
2025-04-01,-60.1,3.3,4.2,+10.5,2026-04-27T23:06:36Z
2025-03-01,-135.9,0.0,0.0,-75.8,2026-04-27T23:06:36Z
2025-02-01,-119.8,0.0,0.0,+16.1,2026-04-27T23:06:36Z
2025-01-01,-128.3,3.3,4.6,-8.6,2026-04-27T23:06:36Z
2024-12-01,-96.9,0.0,0.0,+31.4,2026-04-27T23:06:36Z
2024-11-01,-79.8,0.0,0.0,+17.2,2026-04-27T23:06:36Z
2024-10-01,-74.2,3.2,4.2,+5.5,2026-04-27T23:06:36Z
2024-09-01,-81.5,0.0,0.0,-7.2,2026-04-27T23:06:36Z
2024-08-01,-71.2,0.0,0.0,+10.3,2026-04-27T23:06:36Z
2024-07-01,-78.6,3.3,4.2,-7.4,2026-04-27T23:06:36Z
2024-06-01,-73.9,0.0,0.0,+4.7,2026-04-27T23:06:36Z
2024-05-01,-74.5,0.0,0.0,-0.6,2026-04-27T23:06:36Z
2024-04-01,-73.1,3.2,4.1,+1.3,2026-04-27T23:06:36Z
2024-03-01,-66.3,0.0,0.0,+6.8,2026-04-27T23:06:36Z
2024-02-01,-66.4,0.0,0.0,-0.2,2026-04-27T23:06:36Z
2024-01-01,-67.1,3.2,4.0,-0.6,2026-04-27T23:06:36Z
2023-12-01,-63.9,0.0,0.0,+3.2,2026-04-27T23:06:36Z
2023-11-01,-65.1,0.0,0.0,-1.2,2026-04-27T23:06:36Z
2023-10-01,-64.1,3.1,3.9,+1.0,2026-04-27T23:06:36Z
2023-09-01,-59.6,0.0,0.0,+4.5,2026-04-27T23:06:36Z
2023-08-01,-59.2,0.0,0.0,+0.4,2026-04-27T23:06:36Z
2023-07-01,-63.8,3.1,3.8,-4.6,2026-04-27T23:06:36Z
2023-06-01,-65.2,0.0,0.0,-1.4,2026-04-27T23:06:36Z
2023-05-01,-65.8,0.0,0.0,-0.7,2026-04-27T23:06:36Z
2023-04-01,-71.1,3.0,3.8,-5.3,2026-04-27T23:06:36Z
2023-03-01,-58.6,0.0,0.0,+12.5,2026-04-27T23:06:36Z
