geo,rank,symbol,job_timestamp,captured_at
US,1,CLS,1777331093305,2026-04-27T23:11:50Z
US,2,BTC-USD,1777331093305,2026-04-27T23:11:50Z
US,3,JOBY,1777331093305,2026-04-27T23:11:50Z
US,4,SNAP,1777331093305,2026-04-27T23:11:50Z
US,5,LAC,1777331093305,2026-04-27T23:11:50Z
US,6,RMBS,1777331093305,2026-04-27T23:11:50Z
US,7,RIG,1777331093305,2026-04-27T23:11:50Z
US,8,SNDK,1777331093305,2026-04-27T23:11:50Z
US,9,BBBY,1777331093305,2026-04-27T23:11:50Z
US,10,ULTA,1777331093305,2026-04-27T23:11:50Z
US,11,DPZ,1777331093305,2026-04-27T23:11:50Z
US,12,POET,1777331093305,2026-04-27T23:11:50Z
US,13,NOK,1777331093305,2026-04-27T23:11:50Z
US,14,CRML,1777331093305,2026-04-27T23:11:50Z
US,15,AMKR,1777331093305,2026-04-27T23:11:50Z
US,16,ERAS,1777331093305,2026-04-27T23:11:50Z
US,17,HTCO,1777331093305,2026-04-27T23:11:50Z
US,18,NUE,1777331093305,2026-04-27T23:11:50Z
US,19,ETH-USD,1777331093305,2026-04-27T23:11:50Z
US,20,MU,1777331093305,2026-04-27T23:11:50Z
CA,1,CLS,0,2026-04-27T23:11:50Z
CA,2,ARX.TO,0,2026-04-27T23:11:50Z
CA,3,BTC-USD,0,2026-04-27T23:11:50Z
CA,4,SNDK,0,2026-04-27T23:11:50Z
CA,5,XRP-CAD,0,2026-04-27T23:11:50Z
CA,6,MSFT,0,2026-04-27T23:11:50Z
CA,7,MU,0,2026-04-27T23:11:50Z
GB,1,NVDA,0,2026-04-27T23:11:50Z
HK,1,MU,0,2026-04-27T23:11:50Z
